4;5;6;7;8;9;10;11;12;13;14;15;16;16;17;18;19;20;21;22;22;23;24;25;25;26;27;27;28
8;10;12;14;16;17;19;21;22;24;25;26;28;29;30;31;32;33;33;33;33;34;33;33;33;33;34;34;33
12;15;17;20;22;24;27;29;30;31;30;31;30;31;31;30;30;30;24;24;25;26;25;25;24;24;24;24;24
15;19;22;24;26;27;29;30;29;29;29;29;28;21;23;21;22;23;30;30;29;29;28;28;28;28;28;28;28
17;21;25;28;29;30;29;29;29;20;20;23;21;26;25;25;26;26;25;25;25;25;26;26;25;26;26;26;25
20;24;27;29;29;29;29;21;22;24;24;24;24;29;29;28;29;29;28;28;28;28;28;28;27;29;28;28;27
22;26;28;29;29;29;19;22;22;26;26;26;26;24;24;23;23;25;26;25;25;27;26;26;26;26;25;26;26
24;28;28;29;28;21;21;26;24;29;28;29;28;26;27;26;26;26;28;28;27;28;28;28;27;28;27;28;27
